BFSNR;NAME;DATUM;FISKALERTRAG;REGALKONZESS;ENTGELTE;VERSCHERTRAEGE;FINANZERTRAG;ENTNAHMENFONDS;TRANSFERERTRAG;DURCHLBEITRAEGE;ERTRAGAUSSERORD;TOTAL
19;Kanton Aargau;2019-12-31;1.97825842026E9;2.651806047E7;6.6261206629E8;3735624.56;1.4219455998E8;8511941.35;4.9517287211E8;450889.45;5.693927852E7;3.37439371299E9
19;Kanton Aargau;2018-12-31;1.8967168213E9;2.678036418E7;6.8857144874E8;3885906.26;2.1747885863E8;6434915.8;4.8538480325E8;457372.35;8.935397115E7;3.4150644617E9
19;Kanton Aargau;2017-12-31;1.85973672981E9;2.580327069E7;6.5599122672E8;3741558.86;1.2735797622E8;7064967.99;4.7021795608E8;186335.9;8.1774108E7;3.23187413027E9
19;Kanton Aargau;2016-12-31;1.79142385525E9;2.581647027E7;6.410885506E8;4801621.46;1.2342727292E8;8071593.5;4.5079918543E8;38969.3;7.658697493E7;3.12205449366E9
19;Kanton Aargau;2015-12-31;1.79675853229E9;2.683845935E7;6.7075003567E8;3576400.67;1.0723486433E8;6483459.07;4.3858270089E8;38717.65;9.554331163E7;3.14580648155E9
19;Kanton Aargau;2014-12-31;1.78172214329E9;2.391789748E7;6.5886617459E8;4987972.74;1.233614651E8;5055284.83;4.2870125589E8;120278.9;1.6123672701E8;3.18796919983E9
1901;Bezirk Aarau;2019-12-31;2.418474969E8;5051131.74;8.890677118E7;1079082.3;2.894144507E7;1337913.5;4.871803659E7;3401.0;359308.7;4.1624458698E8
1901;Bezirk Aarau;2018-12-31;2.369500722E8;4896137.7;8.967790559E7;899153.03;3.457615972E7;921918.73;4.071278469E7;1342.5;5845247.19;4.1448072135E8
1901;Bezirk Aarau;2017-12-31;2.2860835045E8;4911995.88;8.779663112E7;167330.59;3.005562689E7;1327958.02;3.882091117E7;5814.0;424337.3;3.9211895542E8
1901;Bezirk Aarau;2016-12-31;2.18292656E8;4846565.43;8.44976429E7;115184.57;2.200873974E7;1512551.4;3.780556616E7;8193.0;2686012.65;3.7177311185E8
1901;Bezirk Aarau;2015-12-31;2.1600707069E8;4775122.2;8.703949277E7;734807.82;2.390221313E7;936590.35;3.631509923E7;3450.0;5004195.84;3.7471804203E8
1901;Bezirk Aarau;2014-12-31;2.148965435E8;4697809.3;8.281096966E7;225039.84;2.651156118E7;687751.57;3.505304717E7;3294.5;2.525055576E7;3.9013657248E8
1902;Bezirk Baden;2019-12-31;4.4391932362E8;4405797.36;1.4214635444E8;256080.3;3.095337909E7;1493347.26;8.531391866E7;0.0;1.467511944E7;7.2316332017E8
1902;Bezirk Baden;2018-12-31;4.2903117015E8;4356109.72;1.5796718455E8;348555.57;5.901805203E7;920917.88;8.583751686E7;20000.0;1.801520573E7;7.5551471249E8
1902;Bezirk Baden;2017-12-31;4.2197602755E8;4120865.74;1.3910212519E8;285023.15;2.873473198E7;1148280.03;8.18080063E7;0.0;1.981829828E7;6.9699335822E8
1902;Bezirk Baden;2016-12-31;4.053659613E8;4243635.11;1.3753941758E8;351507.9;3.3040564E7;1246507.23;7.525945362E7;0.0;1.451683545E7;6.7156388219E8
1902;Bezirk Baden;2015-12-31;4.2412557076E8;4248745.14;1.5726885851E8;314601.77;2.728692409E7;659220.45;7.625189577E7;0.0;1.902691246E7;7.0918272895E8
1902;Bezirk Baden;2014-12-31;4.1986137315E8;4087866.42;1.7235169919E8;855441.05;2.723216227E7;711834.71;7.49442877E7;0.0;3.343376493E7;7.3347842942E8
1903;Bezirk Bremgarten;2019-12-31;2.076764583E8;1981075.95;7.346527077E7;819450.69;6963280.96;651704.08;5.58785902E7;2029.85;1.07820973E7;3.582199581E8
1903;Bezirk Bremgarten;2018-12-31;2.0047222155E8;2026274.64;7.410311748E7;617261.37;1.739162965E7;607482.8;5.644127546E7;3032.0;1.249507202E7;3.6415736697E8
1903;Bezirk Bremgarten;2017-12-31;2.0262690745E8;2031890.93;7.074201346E7;1470139.62;7505188.4;772181.76;5.234812472E7;2285.0;1.24961681E7;3.4999489944E8
1903;Bezirk Bremgarten;2016-12-31;1.9793581328E8;1948663.47;6.758976069E7;3126605.53;7405247.92;989437.15;5.115349993E7;1802.0;1.23750362E7;3.4252586617E8
1903;Bezirk Bremgarten;2015-12-31;1.950441691E8;1810361.59;7.015335945E7;1030478.31;7138855.19;653240.95;4.667568664E7;1915.8;1.711297045E7;3.3962103748E8
1903;Bezirk Bremgarten;2014-12-31;1.8917357045E8;1621290.85;6.499473323E7;2782268.92;7977172.18;751347.4;4.40922063E7;2063.15;2.224008756E7;3.3363474004E8
1904;Bezirk Brugg;2019-12-31;1.4520709965E8;3150429.15;4.683667756E7;434622.57;2.036045909E7;478530.51;4.362896989E7;12025.45;2389762.45;2.6249857632E8
1904;Bezirk Brugg;2018-12-31;1.4332523035E8;3918489.75;4.950092037E7;379422.15;1.615826845E7;341721.27;4.11490344E7;4427.1;9113089.29;2.6389060313E8
1904;Bezirk Brugg;2017-12-31;1.4057087455E8;3255455.52;4.57592267E7;218972.4;1.459924439E7;639335.74;4.045371076E7;9901.9;7188130.83;2.5269485279E8
1904;Bezirk Brugg;2016-12-31;1.3434816873E8;3241379.59;4.526355657E7;264849.1;1.218750926E7;1353595.04;3.84576513E7;18107.15;7606428.0;2.4274124474E8
1904;Bezirk Brugg;2015-12-31;1.3347980371E8;3240263.75;4.581128963E7;400728.65;1.005561476E7;673918.8;3.817900429E7;12492.1;1.089280412E7;2.4274591981E8
1904;Bezirk Brugg;2014-12-31;1.3124572515E8;3210156.95;4.543027451E7;261380.3;1.39770822E7;375566.15;3.850627235E7;99141.55;1.389672512E7;2.4700232428E8
1905;Bezirk Kulm;2019-12-31;9.75268154E7;1694033.71;4.729464317E7;52625.1;7518229.06;148068.16;3.935304979E7;0.0;2545597.87;1.9613306226E8
1905;Bezirk Kulm;2018-12-31;9.31228908E7;1648846.03;4.527429866E7;35906.85;8133406.84;185763.62;3.908918078E7;0.0;2713069.1;1.9020336268E8
1905;Bezirk Kulm;2017-12-31;9.19760306E7;1716619.68;4.422327248E7;34933.53;5217101.86;133338.13;3.997202757E7;0.0;2987396.25;1.862607201E8
1905;Bezirk Kulm;2016-12-31;9.090613019E7;1778608.67;4.353403209E7;30590.65;5039250.09;176299.61;3.831070848E7;0.0;3082101.2;1.8285772098E8
1905;Bezirk Kulm;2015-12-31;8.8603927E7;1823922.3;4.339515495E7;9404.94;4725036.01;526884.05;3.67712516E7;0.0;5479240.26;1.8133482111E8
1905;Bezirk Kulm;2014-12-31;8.881455705E7;1779564.8;4.046842292E7;22866.21;5238931.13;212619.47;3.435659057E7;0.0;6925283.41;1.7781883556E8
1906;Bezirk Laufenburg;2019-12-31;9.58123895E7;970294.28;3.308983912E7;86348.73;3814744.62;280282.57;3.538332462E7;0.0;2472568.49;1.7190979193E8
1906;Bezirk Laufenburg;2018-12-31;9.266390737E7;899435.15;3.370971538E7;150684.5;8416704.61;145751.99;3.48974723E7;0.0;1908483.8;1.727921551E8
1906;Bezirk Laufenburg;2017-12-31;9.0825827E7;933810.84;3.288594603E7;86041.5;3301768.66;327195.25;3.415461744E7;0.0;2317077.61;1.6483228433E8
1906;Bezirk Laufenburg;2016-12-31;8.61377953E7;892155.36;3.133908213E7;73375.05;2888265.04;284492.24;3.196386082E7;0.0;2756515.89;1.5633554183E8
1906;Bezirk Laufenburg;2015-12-31;8.484555765E7;1032088.62;3.385291221E7;132817.8;3184007.63;273931.92;3.162795413E7;0.0;5718368.65;1.6066763861E8
1906;Bezirk Laufenburg;2014-12-31;8.89186767E7;781383.47;3.149137407E7;17048.25;4239922.84;337915.31;3.184858381E7;1580.8;6183109.53;1.6381959478E8
1907;Bezirk Lenzburg;2019-12-31;1.718952193E8;2329959.37;5.924795146E7;348922.4;1.292642387E7;1238558.46;4.331880824E7;0.0;5328940.51;2.9663478361E8
1907;Bezirk Lenzburg;2018-12-31;1.706514287E8;2384691.65;6.36871498E7;428494.75;1.730703822E7;760057.1;4.09578603E7;0.0;2.036826858E7;3.165449891E8
1907;Bezirk Lenzburg;2017-12-31;1.627507204E8;2336874.57;6.73923996E7;225129.7;8672619.45;433879.75;4.27618764E7;0.0;8113799.2;2.9268729907E8
1907;Bezirk Lenzburg;2016-12-31;1.5822950405E8;2227793.08;6.684149884E7;53729.28;1.104961752E7;919933.7;4.219811024E7;0.0;7976799.2;2.8949698591E8
1907;Bezirk Lenzburg;2015-12-31;1.60674588E8;2288915.84;6.220282304E7;3208.45;8929852.19;477919.65;4.020998265E7;0.0;1.027499975E7;2.8506228957E8
1907;Bezirk Lenzburg;2014-12-31;1.5965314378E8;1780378.8;6.131400281E7;18081.32;7522937.15;599407.45;3.707621426E7;0.0;1.446270746E7;2.8242687303E8
1908;Bezirk Muri;2019-12-31;9.769371745E7;707504.94;2.282077751E7;104686.92;6208385.77;296892.85;2.547946601E7;433433.15;4041249.54;1.5778611414E8
