BFSNR;NAME;DATUM;STEUERN;REGALIEN_KONZ;VERMOEG_ERTR;ENTGELTE;ANTEILE_BEITR;RUECKERST_GDE;BEITR_EIGE_RECH;DLF_BEITR;ENTNAHMEN;INTERNE_VERRECH;TOTAL
19;Kanton Aargau;2013-12-31;1756856.3;24056.2;117474.7;632436.3;25472.1;195402.7;94656.4;1611.7;45165.8;45165.8;152585.7
19;Kanton Aargau;2012-12-31;1712282.6;24421.0;142443.2;648122.1;49882.0;199021.5;98905.1;156.8;56078.6;56078.6;152994.9
19;Kanton Aargau;2011-12-31;1669572.5;26019.3;141470.6;647880.8;49984.4;188961.8;98001.0;134.3;31468.1;31468.1;151385.0
19;Kanton Aargau;2010-12-31;1602765.5;26941.0;149467.2;639644.0;24781.0;182473.3;91351.6;262.7;39882.3;39882.3;148608.7
19;Kanton Aargau;2009-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;2008-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;2007-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;2006-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;2005-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;2004-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;2003-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;2002-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;2001-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;2000-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;1999-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;1998-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;1997-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;1996-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;1995-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;1994-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;1993-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;1992-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;1991-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;1990-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;1989-12-31;...;...;...;...;...;...;...;...;...;...;...
19;Kanton Aargau;1988-12-31;...;...;...;...;...;...;...;...;...;...;...
1901;Bezirk Aarau;2013-12-31;213177.9;4452.6;26253.3;85463.6;879.0;17103.1;11529.2;2.0;4042.7;4042.7;10889.4
1901;Bezirk Aarau;2012-12-31;213247.3;4387.7;24662.5;84157.2;1004.0;16401.8;12389.0;4.0;3418.4;3418.4;10993.5
