BFSNR;NAME;DATUM;STEUPFL_ANZ;STEK_TOTAL;STEK_MEDIAN;EKST_TOTAL;EKST_MEDIAN;STVM_TOTAL;STVM_MEDIAN;VMST_TOTAL;VMST_MEDIAN
19;Kanton Aargau;2017-12-31;377033.0;2.42412068E10;53400.0;1.270170778E9;2280.0;9.0034063E10;0.0;1.41611137E8;0.0
19;Kanton Aargau;2016-12-31;371581.0;2.34814902E10;52900.0;1.2272667E9;2200.0;8.3779739E10;0.0;1.31007E8;0.0
19;Kanton Aargau;2015-12-31;353210.0;2.17145359E10;52000.0;1.1402599E9;2200.0;7.0408777E10;0.0;1.171541E8;0.0
19;Kanton Aargau;2014-12-31;350015.0;2.13938649E10;51800.0;1.1480398E9;2200.0;7.0389322E10;0.0;1.171849E8;0.0
19;Kanton Aargau;2013-12-31;344671.0;2.1111958E10;51700.0;1.1583324E9;2300.0;6.8808016E10;0.0;1.269197E8;0.0
19;Kanton Aargau;2012-12-31;339113.0;2.06412803E10;51400.0;1.1260488E9;2300.0;6.4948039E10;0.0;1.197032E8;0.0
19;Kanton Aargau;2011-12-31;333661.0;2.02007572E10;51100.0;1.0990717E9;2200.0;6.0932386E10;0.0;1.138939E8;0.0
19;Kanton Aargau;2010-12-31;328028.0;1.95380075E10;50400.0;1.0570007E9;2200.0;5.843113E10;0.0;1.08625E8;0.0
19;Kanton Aargau;2009-12-31;324267.0;1.91335538E10;50300.0;1.0278672E9;2100.0;5.7970422E10;0.0;1.067156E8;0.0
19;Kanton Aargau;2008-12-31;318368.0;1.85583621E10;49800.0;1.0292867E9;2100.0;5.2835827E10;0.0;1.122705E8;0.0
19;Kanton Aargau;2007-12-31;307589.0;1.75097638E10;48700.0;9.583732E8;2000.0;5.7126848E10;0.0;1.222719E8;0.0
19;Kanton Aargau;2006-12-31;308540.0;1.74903379E10;48000.0;9.39257E8;2000.0;5.7737374E10;0.0;1.238658E8;0.0
19;Kanton Aargau;2005-12-31;301932.0;1.682513E10;47400.0;8.895018E8;1900.0;5.3645828E10;0.0;1.14491E8;0.0
19;Kanton Aargau;2004-12-31;297929.0;1.6442761E10;47200.0;8.606791E8;1900.0;4.9600427E10;0.0;1.05046E8;0.0
19;Kanton Aargau;2003-12-31;288430.0;1.59172556E10;47300.0;8.2934E8;1900.0;4.8804598E10;0.0;1.035598E8;0.0
19;Kanton Aargau;2002-12-31;288928.0;1.59682819E10;47400.0;8.332221E8;1900.0;4.7242789E10;0.0;9.98352E7;0.0
19;Kanton Aargau;2001-12-31;279761.0;1.53318454E10;47000.0;8.506244E8;2000.0;4.6377227E10;0.0;9.78833E7;0.0
1901;Bezirk Aarau;2017-12-31;44469.0;2.8438933E9;53500.0;1.51112141E8;2336.0;1.0439738E10;0.0;1.645286E7;0.0
1901;Bezirk Aarau;2016-12-31;43903.0;2.7573638E9;53000.0;1.463184E8;2300.0;9.722562E9;0.0;1.5271E7;0.0
1901;Bezirk Aarau;2015-12-31;30534.0;1.8621368E9;52600.0;9.70963E7;2200.0;5.79298E9;0.0;9630600.0;0.0
1901;Bezirk Aarau;2014-12-31;30296.0;1.8494151E9;52700.0;9.86578E7;2300.0;5.75138E9;0.0;9548200.0;0.0
1901;Bezirk Aarau;2013-12-31;29849.0;1.8116159E9;52700.0;9.83185E7;2400.0;5.629339E9;0.0;1.04316E7;0.0
1901;Bezirk Aarau;2012-12-31;29395.0;1.7636315E9;51900.0;9.52048E7;2300.0;5.283011E9;0.0;9715300.0;0.0
1901;Bezirk Aarau;2011-12-31;28792.0;1.7100522E9;51400.0;9.15638E7;2300.0;4.986376E9;0.0;9116800.0;0.0
1901;Bezirk Aarau;2010-12-31;28148.0;1.6538069E9;51100.0;8.79425E7;2200.0;4.906834E9;0.0;8975200.0;0.0
1901;Bezirk Aarau;2009-12-31;29141.0;1.695283E9;51000.0;8.9449E7;2200.0;5.011092E9;0.0;9134900.0;0.0
1901;Bezirk Aarau;2008-12-31;29081.0;1.6775889E9;50500.0;9.13616E7;2200.0;4.643175E9;0.0;9754600.0;0.0
1901;Bezirk Aarau;2007-12-31;27744.0;1.5637509E9;49500.0;8.36497E7;2100.0;4.892468E9;0.0;1.03933E7;0.0
1901;Bezirk Aarau;2006-12-31;28225.0;1.5821521E9;48800.0;8.2563E7;2000.0;5.064053E9;0.0;1.08078E7;0.0
1901;Bezirk Aarau;2005-12-31;27605.0;1.5350701E9;48300.0;7.92684E7;2000.0;4.737896E9;0.0;1.00157E7;0.0
1901;Bezirk Aarau;2004-12-31;27272.0;1.5054046E9;48200.0;7.73205E7;1900.0;4.476338E9;0.0;9403700.0;0.0
1901;Bezirk Aarau;2003-12-31;26172.0;1.4507579E9;48500.0;7.43032E7;2000.0;4.277427E9;0.0;8922600.0;0.0
1901;Bezirk Aarau;2002-12-31;26451.0;1.4610714E9;48500.0;7.4776E7;2000.0;4.195888E9;0.0;8741100.0;0.0
1901;Bezirk Aarau;2001-12-31;25701.0;1.4044935E9;47800.0;7.62754E7;2100.0;4.215525E9;0.0;8801700.0;0.0
1902;Bezirk Baden;2017-12-31;80517.0;5.5080999E9;55500.0;2.96822789E8;2431.0;2.0917758E10;0.0;3.3285451E7;0.0
1902;Bezirk Baden;2016-12-31;79505.0;5.3202914E9;55100.0;2.859491E8;2400.0;1.9036074E10;0.0;3.00142E7;0.0
1902;Bezirk Baden;2015-12-31;78559.0;5.114904E9;54200.0;2.795878E8;2400.0;1.66876E10;0.0;2.86426E7;0.0
1902;Bezirk Baden;2014-12-31;77790.0;5.050288E9;54200.0;2.82258E8;2400.0;1.6603037E10;0.0;2.84134E7;0.0
1902;Bezirk Baden;2013-12-31;76803.0;5.0584051E9;54200.0;2.886996E8;2500.0;1.6172907E10;0.0;3.0741E7;0.0
1902;Bezirk Baden;2012-12-31;75849.0;4.9856634E9;53800.0;2.839562E8;2500.0;1.5175435E10;0.0;2.87948E7;0.0
1902;Bezirk Baden;2011-12-31;74819.0;4.8883822E9;53500.0;2.783716E8;2400.0;1.4142433E10;0.0;2.66364E7;0.0
1902;Bezirk Baden;2010-12-31;73743.0;4.6940154E9;52800.0;2.668056E8;2400.0;1.374451E10;0.0;2.58574E7;0.0
1902;Bezirk Baden;2009-12-31;72723.0;4.5847958E9;52900.0;2.580446E8;2400.0;1.3145265E10;0.0;2.46077E7;0.0
1902;Bezirk Baden;2008-12-31;71418.0;4.4342777E9;52100.0;2.595658E8;2300.0;1.2051883E10;0.0;2.60033E7;0.0
1902;Bezirk Baden;2007-12-31;68027.0;4.1175393E9;50800.0;2.386016E8;2200.0;1.3128459E10;0.0;2.87431E7;0.0
1902;Bezirk Baden;2006-12-31;68921.0;4.1297849E9;50100.0;2.341421E8;2100.0;1.3380372E10;0.0;2.9392E7;0.0
1902;Bezirk Baden;2005-12-31;67198.0;3.9646913E9;49400.0;2.220195E8;2100.0;1.2327582E10;0.0;2.69105E7;0.0
1902;Bezirk Baden;2004-12-31;66558.0;3.8910388E9;49200.0;2.156444E8;2100.0;1.1171391E10;0.0;2.41177E7;0.0
1902;Bezirk Baden;2003-12-31;64863.0;3.7904081E9;49600.0;2.088631E8;2100.0;1.1100461E10;0.0;2.40452E7;0.0
1902;Bezirk Baden;2002-12-31;64692.0;3.8052381E9;49900.0;2.107573E8;2100.0;1.0590448E10;0.0;2.28204E7;0.0
1902;Bezirk Baden;2001-12-31;62700.0;3.6722503E9;49400.0;2.165346E8;2300.0;1.0579E10;0.0;2.28441E7;0.0
1903;Bezirk Bremgarten;2017-12-31;42622.0;2.9225747E9;54600.0;1.57609679E8;2336.0;1.1633505E10;0.0;1.8390904E7;0.0
1903;Bezirk Bremgarten;2016-12-31;42148.0;2.8401081E9;53900.0;1.518797E8;2300.0;1.0997954E10;0.0;1.72375E7;0.0
1903;Bezirk Bremgarten;2015-12-31;41472.0;2.6981103E9;52700.0;1.470434E8;2300.0;9.115607E9;0.0;1.57371E7;0.0
1903;Bezirk Bremgarten;2014-12-31;41242.0;2.6467053E9;52500.0;1.463495E8;2300.0;9.173747E9;0.0;1.56928E7;0.0
1903;Bezirk Bremgarten;2013-12-31;40604.0;2.5928904E9;52300.0;1.460852E8;2300.0;8.717894E9;0.0;1.67411E7;0.0
1903;Bezirk Bremgarten;2012-12-31;39743.0;2.543243E9;52100.0;1.427851E8;2300.0;8.30697E9;0.0;1.5859E7;0.0
1903;Bezirk Bremgarten;2011-12-31;38894.0;2.4664517E9;52100.0;1.386165E8;2300.0;7.722672E9;0.0;1.46349E7;0.0
1903;Bezirk Bremgarten;2010-12-31;38219.0;2.4172322E9;51500.0;1.348023E8;2300.0;7.625577E9;0.0;1.44855E7;0.0
1903;Bezirk Bremgarten;2009-12-31;37502.0;2.3313671E9;51300.0;1.294624E8;2200.0;7.236933E9;0.0;1.36617E7;0.0
1903;Bezirk Bremgarten;2008-12-31;36824.0;2.2763449E9;51100.0;1.315752E8;2200.0;6.586868E9;0.0;1.42833E7;0.0
1903;Bezirk Bremgarten;2007-12-31;35313.0;2.1352156E9;50100.0;1.222023E8;2100.0;7.055973E9;0.0;1.54607E7;0.0
1903;Bezirk Bremgarten;2006-12-31;35952.0;2.1483275E9;49100.0;1.205321E8;2000.0;7.157752E9;0.0;1.57212E7;0.0
1903;Bezirk Bremgarten;2005-12-31;35155.0;2.0599911E9;48500.0;1.134815E8;2000.0;6.569952E9;0.0;1.43146E7;0.0
1903;Bezirk Bremgarten;2004-12-31;34713.0;2.0110083E9;48300.0;1.092572E8;2000.0;5.808569E9;0.0;1.24471E7;0.0
1903;Bezirk Bremgarten;2003-12-31;33714.0;1.9659811E9;48900.0;1.069967E8;2000.0;5.833814E9;0.0;1.25688E7;0.0
1903;Bezirk Bremgarten;2002-12-31;33413.0;1.9623304E9;48800.0;1.074228E8;2000.0;5.556451E9;0.0;1.19232E7;0.0
1903;Bezirk Bremgarten;2001-12-31;32225.0;1.8882897E9;48700.0;1.097378E8;2200.0;5.369857E9;0.0;1.1461E7;0.0
1904;Bezirk Brugg;2017-12-31;28484.0;1.7918195E9;53500.0;9.338232E7;2288.0;6.583342E9;0.0;1.0314622E7;0.0
1904;Bezirk Brugg;2016-12-31;28260.0;1.7445126E9;52900.0;9.03644E7;2200.0;6.238668E9;0.0;9729500.0;0.0
1904;Bezirk Brugg;2015-12-31;27913.0;1.6842667E9;51900.0;8.76839E7;2200.0;5.546276E9;0.0;9251200.0;0.0
1904;Bezirk Brugg;2014-12-31;27703.0;1.6671195E9;51700.0;8.87613E7;2200.0;5.50448E9;0.0;9164000.0;0.0
1904;Bezirk Brugg;2013-12-31;27188.0;1.6245005E9;51500.0;8.81466E7;2300.0;5.389467E9;0.0;9995800.0;0.0
1904;Bezirk Brugg;2012-12-31;26670.0;1.576677E9;51300.0;8.49274E7;2200.0;5.052905E9;0.0;9289900.0;0.0
1904;Bezirk Brugg;2011-12-31;26312.0;1.5522466E9;50900.0;8.34238E7;2200.0;4.803773E9;0.0;8815400.0;0.0
1904;Bezirk Brugg;2010-12-31;25932.0;1.5068472E9;50500.0;8.04335E7;2200.0;4.770005E9;0.0;8754900.0;0.0
1904;Bezirk Brugg;2009-12-31;25910.0;1.5048003E9;50300.0;8.01029E7;2200.0;4.709411E9;0.0;8626900.0;0.0
1904;Bezirk Brugg;2008-12-31;25435.0;1.4569468E9;49600.0;7.95422E7;2100.0;4.389418E9;0.0;9288200.0;0.0
1904;Bezirk Brugg;2007-12-31;24788.0;1.3846214E9;48600.0;7.47032E7;2000.0;4.682161E9;0.0;1.00113E7;0.0
1904;Bezirk Brugg;2006-12-31;24782.0;1.3869407E9;47600.0;7.348E7;1900.0;4.769366E9;0.0;1.02454E7;0.0
1904;Bezirk Brugg;2005-12-31;24450.0;1.3480714E9;47500.0;7.01737E7;1900.0;4.480098E9;0.0;9535300.0;0.0
1904;Bezirk Brugg;2004-12-31;24197.0;1.339682E9;47400.0;6.98798E7;1900.0;4.199926E9;0.0;8872000.0;0.0
1904;Bezirk Brugg;2003-12-31;23336.0;1.2911178E9;47800.0;6.6963E7;1900.0;4.064536E9;0.0;8557500.0;0.0
1904;Bezirk Brugg;2002-12-31;23498.0;1.3029241E9;48100.0;6.75951E7;1900.0;3.953016E9;0.0;8298400.0;0.0
1904;Bezirk Brugg;2001-12-31;22322.0;1.2230383E9;47800.0;6.71347E7;2100.0;3.806243E9;0.0;7992700.0;0.0
1905;Bezirk Kulm;2017-12-31;23125.0;1.267756E9;47700.0;6.107191E7;1848.0;4.545159E9;0.0;7179102.0;0.0
1905;Bezirk Kulm;2016-12-31;22763.0;1.2279122E9;46800.0;5.92815E7;1800.0;4.258603E9;0.0;6680100.0;0.0
1905;Bezirk Kulm;2015-12-31;22367.0;1.1907344E9;46700.0;5.70963E7;1800.0;3.850827E9;0.0;6364200.0;0.0
1905;Bezirk Kulm;2014-12-31;22237.0;1.1837453E9;46600.0;5.82364E7;1800.0;3.847558E9;0.0;6366300.0;0.0
1905;Bezirk Kulm;2013-12-31;21988.0;1.1606521E9;46600.0;5.8388E7;1900.0;3.759488E9;0.0;6947500.0;0.0
1905;Bezirk Kulm;2012-12-31;21666.0;1.1449031E9;46300.0;5.74828E7;1800.0;3.624312E9;0.0;6673100.0;0.0
1905;Bezirk Kulm;2011-12-31;21438.0;1.122825E9;46200.0;5.62378E7;1800.0;3.459342E9;0.0;6316800.0;0.0
1905;Bezirk Kulm;2010-12-31;21211.0;1.0891346E9;45400.0;5.37115E7;1800.0;3.4941E9;0.0;6417200.0;0.0
1905;Bezirk Kulm;2009-12-31;20946.0;1.0691869E9;45100.0;5.22847E7;1700.0;3.501486E9;0.0;6434300.0;0.0
