Jahr,AG_Lediger,AG_Rentnerpaar,AG_Verheiratet mit Kindern,AG_Verheiratet ohne Kinder,CH_Lediger,CH_Rentnerpaar,CH_Verheiratet mit Kindern,CH_Verheiratet ohne Kinder
2004,18.210043743541565,,12.994707599697097,14.494639998903157,17.27426990638482,,13.322189173695396,14.835660253951136
2005,18.136164576188254,,12.9419873431735,14.435834432629614,17.152626893229904,,13.100337831694308,14.65410685665995
2006,18.047941822782995,,12.879031487587048,14.365611808877015,16.947530569943634,,12.847968884299721,14.420078647099132
2007,18.02039133024499,,12.859371425271927,14.343682456221142,16.850733654034034,,12.654157849145985,14.26200024458989
2008,17.533351136420254,16.675231290373105,12.511818997766264,13.95601330100622,16.375845259236137,16.210754845382628,12.12037576162038,13.759245482382397
2009,16.359808500698684,15.649998802100033,11.689062038836292,13.0801319798843,16.077482641357456,15.98040845572263,11.78851265140679,13.52423807979973
2010,16.77827876697608,15.606029626900101,11.656221242922644,13.043382928211235,15.856835592444508,15.694424565579107,11.471192064270227,13.229510418670008
2011,16.236905539265774,15.589877531777528,11.592615813538819,12.976501036951793,15.610937202255329,15.49294219063476,11.20633748872395,13.012440746146535
2012,16.25025028761138,15.602690502321536,11.602143524365545,12.987166131992591,15.561405308036697,15.428372460160626,11.119849160175946,12.945823097314058
2013,16.26703113753244,15.618802648476219,11.61412449855358,13.000577352244813,15.521649664761156,15.387567722054381,11.058452634739051,12.911138094926164
2014,16.24392399096373,15.623516755513299,11.467491582982628,12.976945499822815,15.56734514342809,15.39458605224701,11.039540486911118,12.929656780295593
2015,15.711949105540237,15.111814811016307,11.087421556490828,12.53521635261858,15.615864374717253,15.427808531211344,11.061756296147399,12.949869816127668
2016,15.774516635812947,15.169604027532833,11.131376042944634,12.585171537982475,15.637508021989515,15.439869621083727,11.080776901123278,12.973703824327313
