,Jur. Steuern Total,Nat. Steuern Total
2001-12-31,278337051.0,1042877830.9655154
2003-12-31,228188992.87222221,1014313227.621624
2005-12-31,304839121.3055548,1076701116.6278582
2007-12-31,379477535.0055544,1169404144.1216874
2009-12-31,332431765.9500005,1190390921.4424822
2011-12-31,349554631.0279964,1277380829.0952744
2012-12-31,320884907.0867332,1317481435.955449
2013-12-31,350718162.594362,1357276992.280874
2014-12-31,346341512.170236,1327227947.0
2015-12-31,314507908.3,1326590484.073196
2016-12-31,301539277.00972074,1380949000.0
2017-12-31,318998526.0,1425990000.0
